epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.8,1.35608,2.04606,1.49881,0.47881,0.54828,0.50083,0.27812,1.43183,1.75374,1.73907,0.0670249,0.000333082,0.000333082
2,326.325,1.364,1.78564,1.5012,0.55646,0.56663,0.58623,0.34146,1.38002,1.51536,1.64944,0.0340029,0.000644423,0.000644423
3,485.528,1.34589,1.70002,1.48731,0.58807,0.61916,0.63732,0.37428,1.36344,1.40728,1.66357,0.000958922,0.000933765,0.000933765
4,644.743,1.31293,1.59517,1.46144,0.63982,0.65173,0.70204,0.4318,1.28149,1.22547,1.56874,0.000901,0.000901,0.000901
5,798.636,1.29406,1.5233,1.44419,0.68095,0.70707,0.76377,0.47303,1.25313,1.10057,1.54066,0.000868,0.000868,0.000868
6,954.141,1.27394,1.4569,1.42848,0.71852,0.69681,0.77883,0.49109,1.24195,1.05984,1.51962,0.000835,0.000835,0.000835
7,1109.93,1.25302,1.40735,1.4162,0.72352,0.74945,0.80905,0.51111,1.21771,0.97019,1.49408,0.000802,0.000802,0.000802
8,1267.86,1.24728,1.37619,1.41311,0.73097,0.73899,0.80399,0.51183,1.22494,0.98103,1.49208,0.000769,0.000769,0.000769
9,1422.2,1.23212,1.34788,1.40189,0.72627,0.76934,0.81904,0.5184,1.24284,0.93908,1.51121,0.000736,0.000736,0.000736
10,1576.68,1.2258,1.31313,1.39479,0.75764,0.74481,0.82886,0.53433,1.20635,0.91451,1.47209,0.000703,0.000703,0.000703
11,1732.8,1.21725,1.28485,1.38888,0.77374,0.76285,0.83953,0.54373,1.18792,0.87043,1.4742,0.00067,0.00067,0.00067
12,1889.26,1.2093,1.25918,1.38726,0.7858,0.77036,0.85121,0.5551,1.1895,0.85114,1.45964,0.000637,0.000637,0.000637
13,2045.89,1.201,1.24183,1.37846,0.79008,0.78104,0.85605,0.55928,1.17928,0.83445,1.45423,0.000604,0.000604,0.000604
14,2198.72,1.18605,1.21655,1.37043,0.79993,0.78318,0.86275,0.56716,1.17488,0.81574,1.45042,0.000571,0.000571,0.000571
15,2356.57,1.18212,1.19054,1.36778,0.78519,0.79884,0.86656,0.56749,1.17443,0.80227,1.44829,0.000538,0.000538,0.000538
16,2512.39,1.17349,1.17121,1.36007,0.81034,0.79651,0.87404,0.57487,1.16254,0.78078,1.44161,0.000505,0.000505,0.000505
17,2665.26,1.16188,1.14884,1.35363,0.8249,0.79388,0.88053,0.58417,1.16529,0.76556,1.4372,0.000472,0.000472,0.000472
18,2820.93,1.15791,1.12895,1.34991,0.80785,0.81201,0.88143,0.5857,1.1574,0.76054,1.43086,0.000439,0.000439,0.000439
19,2980.97,1.14843,1.11034,1.3441,0.8188,0.80831,0.88544,0.59159,1.15027,0.75182,1.42786,0.000406,0.000406,0.000406
20,3138.01,1.14384,1.09711,1.343,0.82431,0.81026,0.88825,0.59361,1.15233,0.74259,1.42832,0.000373,0.000373,0.000373
21,3293.68,1.10096,0.77213,1.39226,0.82149,0.81536,0.88782,0.5952,1.14784,0.7325,1.42723,0.00034,0.00034,0.00034
22,3450.18,1.08282,0.73564,1.38415,0.82856,0.81548,0.88888,0.59913,1.13857,0.72249,1.42144,0.000307,0.000307,0.000307
23,3601.96,1.07412,0.71646,1.37093,0.81643,0.82937,0.89278,0.60169,1.14461,0.7154,1.422,0.000274,0.000274,0.000274
24,3754.22,1.06308,0.69243,1.36597,0.82276,0.82182,0.89343,0.60413,1.13807,0.70918,1.42082,0.000241,0.000241,0.000241
25,3906.09,1.05142,0.67206,1.35588,0.83126,0.82483,0.89437,0.60528,1.13828,0.70455,1.4177,0.000208,0.000208,0.000208
26,4059.62,1.04081,0.6496,1.35023,0.82936,0.83009,0.89412,0.60417,1.14332,0.70143,1.41996,0.000175,0.000175,0.000175
27,4214.41,1.03041,0.63208,1.33694,0.83672,0.82129,0.89501,0.60625,1.14,0.69364,1.41978,0.000142,0.000142,0.000142
28,4363.9,1.02299,0.61646,1.3349,0.83469,0.82152,0.89323,0.60638,1.14038,0.69495,1.41949,0.000109,0.000109,0.000109
